"Year","LEA","LEA Name","Type","SourceState","SourceFederal","SourceLocal","SourceTotal","Per PupilState","Per PupilFederal","Per PupilLocal","Per PupilTotal","Per PupilPercent"
"2008","010","Alamance-Burlington Schools","EMPLOYEE BENEFITS","22,125,443","2,132,932","4,203,056","28,461,431","993.96","95.81","188.82","1,278.59","16.7"
"2008","010","Alamance-Burlington Schools","PURCHASED SERVICES","2,215,318","1,259,055","9,566,984","13,041,357","99.52","56.57","429.78","585.87","7.7"
"2008","010","Alamance-Burlington Schools","SUPPLIES & MATERIALS","5,717,625","3,522,597","4,780,610","14,020,832","256.86","158.25","214.76","629.87","8.2"
"2008","010","Alamance-Burlington Schools","INSTRUCTIONAL EQUIP.","369,815","232,631","256,258","858,704","16.61","10.46","11.51","38.58","0.5"
"2008","010","Alamance-Burlington Schools","TOTAL","117,844,350","14,780,814","37,849,820","170,474,984","5,294.00","664.02","1,700.35","7,658.37","100.0"
"2008","020","Alexander County Schools","SALARIES","22,968,828","2,168,958","3,429,096","28,566,882","4,100.11","387.18","612.12","5,099.41","66.7"
"2008","020","Alexander County Schools","EMPLOYEE BENEFITS","5,673,118","662,522","907,627","7,243,267","1,012.70","118.26","162.02","1,292.98","16.9"
"2008","020","Alexander County Schools","PURCHASED SERVICES","386,547","255,390","1,670,813","2,312,750","69.00","45.59","298.25","412.84","5.4"
"2008","020","Alexander County Schools","SUPPLIES & MATERIALS","1,730,486","667,111","1,591,621","3,989,218","308.91","119.08","284.12","712.11","9.3"
"2008","020","Alexander County Schools","INSTRUCTIONAL EQUIP.","395,526","17,968","309,007","722,501","70.60","3.21","55.16","128.97","1.7"
"2008","020","Alexander County Schools","OTHER OBJECTS","0","0","147","147","0.00","0.00","0.03","0.03","0.0"
"2008","020","Alexander County Schools","TOTAL","31,154,505","3,771,949","7,908,311","42,834,765","5,561.32","673.32","1,411.70","7,646.34","100.0"
"2008","030","Alleghany County Schools","SALARIES","8,726,621","789,827","1,418,303","10,934,751","5,540.71","501.48","900.51","6,942.70","65.1"
"2008","030","Alleghany County Schools","EMPLOYEE BENEFITS","2,031,549","217,357","407,085","2,655,991","1,289.87","138.00","258.47","1,686.34","15.8"
"2008","030","Alleghany County Schools","PURCHASED SERVICES","166,317","184,917","947,450","1,298,684","105.60","117.40","601.56","824.56","7.7"
"2008","030","Alleghany County Schools","SUPPLIES & MATERIALS","567,572","351,244","890,317","1,809,133","360.36","223.02","565.28","1,148.66","10.8"
"2008","030","Alleghany County Schools","INSTRUCTIONAL EQUIP.","106,434","747","324","107,505","67.58","0.47","0.21","68.26","0.6"
"2008","030","Alleghany County Schools","TOTAL","11,598,493","1,544,092","3,663,479","16,806,064","7,364.12","980.37","2,326.03","10,670.52","100.0"
"2008","040","Anson County Schools","SALARIES","19,492,516","2,676,725","2,052,284","24,221,525","4,879.23","670.02","513.71","6,062.96","61.1"
"2008","040","Anson County Schools","EMPLOYEE BENEFITS","4,680,666","779,094","458,432","5,918,192","1,171.63","195.02","114.75","1,481.40","15.0"
"2008","040","Anson County Schools","PURCHASED SERVICES","1,544,953","857,612","1,897,749","4,300,314","386.72","214.67","475.03","1,076.42","10.8"
"2008","040","Anson County Schools","SUPPLIES & MATERIALS","2,163,595","1,386,337","1,376,003","4,925,935","541.58","347.02","344.43","1,233.03","12.4"
"2008","040","Anson County Schools","INSTRUCTIONAL EQUIP.","226,181","30,456","27,451","284,088","56.62","7.62","6.87","71.11","0.7"
"2008","040","Anson County Schools","TOTAL","28,107,911","5,730,224","5,811,919","39,650,054","7,035.78","1,434.35","1,454.79","9,924.92","100.0"
"2008","050","Ashe County Schools","SALARIES","16,412,604","1,759,537","2,012,232","20,184,373","5,071.88","543.74","621.83","6,237.45","65.7"
"2008","050","Ashe County Schools","EMPLOYEE BENEFITS","4,015,639","481,979","781,014","5,278,632","1,240.93","148.94","241.35","1,631.22","17.2"
"2008","050","Ashe County Schools","PURCHASED SERVICES","241,587","644,913","1,212,603","2,099,103","74.66","199.29","374.72","648.67","6.8"
"2008","050","Ashe County Schools","SUPPLIES & MATERIALS","987,014","763,052","1,151,213","2,901,279","305.01","235.80","355.75","896.56","9.4"
"2008","050","Ashe County Schools","INSTRUCTIONAL EQUIP.","168,017","48,500","46,364","262,881","51.92","14.99","14.33","81.24","0.9"
"2008","050","Ashe County Schools","TOTAL","21,824,861","3,697,981","5,203,426","30,726,268","6,744.40","1,142.76","1,607.98","9,495.14","100.0"
"2008","060","Avery County Schools","SALARIES","11,899,555","1,397,649","2,162,621","15,459,825","5,331.34","626.18","968.92","6,926.44","66.1"
"2008","060","Avery County Schools","EMPLOYEE BENEFITS","2,906,812","409,599","676,740","3,993,151","1,302.34","183.51","303.20","1,789.05","17.0"
"2008","060","Avery County Schools","PURCHASED SERVICES","412,843","218,943","1,002,375","1,634,161","184.97","98.09","449.09","732.15","7.0"
"2008","060","Avery County Schools","SUPPLIES & MATERIALS","638,631","431,219","1,099,863","2,169,713","286.13","193.19","492.77","972.09","9.3"
"2008","060","Avery County Schools","INSTRUCTIONAL EQUIP.","113,722","2,281","26,618","142,621","50.95","1.02","11.93","63.90","0.6"
"2008","060","Avery County Schools","TOTAL","15,971,563","2,459,691","4,968,217","23,399,471","7,155.73","1,101.99","2,225.91","10,483.63","100.0"
"2008","070","Beaufort County Schools","SALARIES","31,137,637","4,023,698","5,316,693","40,478,028","4,399.84","568.56","751.26","5,719.66","63.2"
"2008","070","Beaufort County Schools","EMPLOYEE BENEFITS","7,469,850","1,031,558","1,390,288","9,891,696","1,055.51","145.76","196.45","1,397.72","15.4"
"2008","070","Beaufort County Schools","PURCHASED SERVICES","1,516,544","1,211,571","3,430,911","6,159,026","214.29","171.20","484.80","870.29","9.6"
"2008","070","Beaufort County Schools","SUPPLIES & MATERIALS","2,453,484","1,848,340","2,628,724","6,930,548","346.68","261.18","371.45","979.31","10.8"
"2008","070","Beaufort County Schools","INSTRUCTIONAL EQUIP.","177,397","231,357","213,486","622,240","25.07","32.68","30.17","87.92","1.0"
"2008","070","Beaufort County Schools","TOTAL","42,754,912","8,346,524","12,980,102","64,081,538","6,041.39","1,179.38","1,834.13","9,054.90","100.0"
"2008","080","Bertie County Schools","SALARIES","14,793,140","2,197,162","1,571,933","18,562,235","4,932.69","732.63","524.15","6,189.47","58.9"
"2008","080","Bertie County Schools","EMPLOYEE BENEFITS","3,482,883","545,853","372,366","4,401,102","1,161.35","182.01","124.16","1,467.52","14.0"
"2008","080","Bertie County Schools","PURCHASED SERVICES","1,490,564","569,277","1,654,425","3,714,266","497.02","189.82","551.66","1,238.50","11.8"
"2008","080","Bertie County Schools","SUPPLIES & MATERIALS","1,409,356","1,219,856","874,952","3,504,164","469.94","406.75","291.75","1,168.44","11.1"
"2008","080","Bertie County Schools","INSTRUCTIONAL EQUIP.","652,599","512,769","155,686","1,321,054","217.61","170.98","51.91","440.50","4.2"
"2008","080","Bertie County Schools","TOTAL","21,828,542","5,044,917","4,629,362","31,502,821","7,278.61","1,682.19","1,543.63","10,504.43","100.0"
"2008","090","Bladen County Schools","SALARIES","25,540,831","4,227,427","2,277,505","32,045,763","4,810.86","796.27","428.99","6,036.12","65.6"
"2008","090","Bladen County Schools","EMPLOYEE BENEFITS","6,110,838","1,144,886","623,563","7,879,287","1,151.03","215.66","117.45","1,484.14","16.1"
"2008","090","Bladen County Schools","PURCHASED SERVICES","488,702","1,426,433","2,499,597","4,414,732","92.05","268.69","470.82","831.56","9.0"
"2008","090","Bladen County Schools","SUPPLIES & MATERIALS","1,634,233","1,778,690","949,636","4,362,559","307.82","335.04","178.87","821.73","8.9"
"2008","090","Bladen County Schools","INSTRUCTIONAL EQUIP.","74,161","89,210","19,855","183,226","13.97","16.80","3.74","34.51","0.4"
"2008","090","Bladen County Schools","TOTAL","33,848,765","8,666,646","6,370,156","48,885,567","6,375.73","1,632.46","1,199.87","9,208.06","100.0"
"2008","100","Brunswick County Schools","SALARIES","47,429,358","4,812,693","14,971,143","67,213,194","4,107.15","416.75","1,296.43","5,820.33","64.9"
"2008","100","Brunswick County Schools","EMPLOYEE BENEFITS","11,386,264","1,368,916","4,254,226","17,009,406","985.99","118.54","368.40","1,472.93","16.3"
"2008","100","Brunswick County Schools","PURCHASED SERVICES","1,742,055","977,399","6,484,036","9,203,490","150.85","84.64","561.49","796.98","8.9"
"2008","100","Brunswick County Schools","SUPPLIES & MATERIALS","4,308,408","1,921,788","3,076,957","9,307,153","373.09","166.41","266.45","805.95","9.0"
"2008","100","Brunswick County Schools","INSTRUCTIONAL EQUIP.","699,181","72,147","130,101","901,429","60.55","6.24","11.27","78.06","0.9"
"2008","100","Brunswick County Schools","TOTAL","65,565,266","9,152,943","28,916,463","103,634,672","5,677.63","792.58","2,504.04","8,974.25","100.0"
"2008","110","Buncombe County Schools","SALARIES","104,347,191","11,663,740","30,118,790","146,129,721","4,113.50","459.80","1,187.32","5,760.62","68.3"
"2008","110","Buncombe County Schools","EMPLOYEE BENEFITS","25,417,514","4,353,516","6,135,815","35,906,845","1,001.99","171.62","241.88","1,415.49","16.8"
"2008","110","Buncombe County Schools","PURCHASED SERVICES","1,745,237","1,106,436","9,063,333","11,915,006","68.80","43.61","357.29","469.70","5.6"
"2008","110","Buncombe County Schools","SUPPLIES & MATERIALS","6,311,810","1,324,251","9,555,013","17,191,074","248.82","52.20","376.67","677.69","8.0"
"2008","110","Buncombe County Schools","INSTRUCTIONAL EQUIP.","2,361,467","34,844","343,782","2,740,093","93.09","1.38","13.55","108.02","1.3"
"2008","110","Buncombe County Schools","TOTAL","140,183,219","18,482,787","55,216,733","213,882,739","5,526.20","728.61","2,176.71","8,431.52","100.0"
"2008","111","Asheville City Schools","SALARIES","16,511,224","2,656,880","10,602,837","29,770,941","4,483.09","721.39","2,878.86","8,083.34","66.2"
"2008","111","Asheville City Schools","EMPLOYEE BENEFITS","3,920,158","572,774","2,726,163","7,219,095","1,064.39","155.52","740.20","1,960.11","16.1"
"2008","111","Asheville City Schools","PURCHASED SERVICES","642,373","413,350","3,623,594","4,679,317","174.42","112.23","983.87","1,270.52","10.4"
"2008","111","Asheville City Schools","SUPPLIES & MATERIALS","797,086","1,290,709","1,172,287","3,260,082","216.42","350.45","318.30","885.17","7.2"
"2008","111","Asheville City Schools","INSTRUCTIONAL EQUIP.","1,254","18,721","17,772","37,747","0.34","5.08","4.83","10.25","0.1"
"2008","111","Asheville City Schools","TOTAL","21,872,095","4,952,434","18,142,653","44,967,182","5,938.66","1,344.67","4,926.06","12,209.39","100.0"
"2008","120","Burke County Schools","SALARIES","60,096,501","7,703,265","10,858,304","78,658,070","4,282.82","548.98","773.82","5,605.62","67.9"
"2008","120","Burke County Schools","EMPLOYEE BENEFITS","15,009,174","2,090,721","2,929,845","20,029,740","1,069.64","148.99","208.80","1,427.43","17.3"
"2008","120","Burke County Schools","PURCHASED SERVICES","1,234,820","1,129,138","5,462,538","7,826,496","88.00","80.47","389.29","557.76","6.8"
"2008","120","Burke County Schools","SUPPLIES & MATERIALS","2,925,572","2,466,294","3,185,144","8,577,010","208.49","175.77","226.99","611.25","7.4"
"2008","120","Burke County Schools","INSTRUCTIONAL EQUIP.","572,892","88,752","64,607","726,251","40.83","6.33","4.60","51.76","0.6"
"2008","120","Burke County Schools","TOTAL","79,838,959","13,478,170","22,500,438","115,817,567","5,689.78","960.54","1,603.50","8,253.82","100.0"
"2008","130","Cabarrus County Schools","SALARIES","101,773,689","8,072,392","24,310,151","134,156,232","3,781.02","299.90","903.15","4,984.07","65.5"
"2008","130","Cabarrus County Schools","EMPLOYEE BENEFITS","24,757,558","2,095,332","6,156,532","33,009,422","919.77","77.85","228.72","1,226.34","16.1"
"2008","130","Cabarrus County Schools","PURCHASED SERVICES","1,829,221","979,636","10,106,370","12,915,227","67.96","36.40","375.46","479.82","6.3"
"2008","130","Cabarrus County Schools","SUPPLIES & MATERIALS","8,002,114","3,463,655","10,489,545","21,955,314","297.29","128.68","389.70","815.67","10.7"
"2008","130","Cabarrus County Schools","INSTRUCTIONAL EQUIP.","288,343","307,318","2,266,061","2,861,722","10.71","11.42","84.19","106.32","1.4"
"2008","130","Cabarrus County Schools","TOTAL","136,650,925","14,918,333","53,328,659","204,897,917","5,076.75","554.25","1,981.22","7,612.22","100.0"
"2008","132","Kannapolis City Schools","SALARIES","20,432,095","2,436,363","3,708,225","26,576,683","4,111.09","490.21","746.12","5,347.42","61.8"
"2008","132","Kannapolis City Schools","EMPLOYEE BENEFITS","4,986,493","656,544","915,665","6,558,702","1,003.32","132.10","184.24","1,319.66","15.3"
"2008","132","Kannapolis City Schools","PURCHASED SERVICES","616,894","733,185","3,468,984","4,819,063","124.12","147.53","697.98","969.63","11.2"
"2008","132","Kannapolis City Schools","SUPPLIES & MATERIALS","1,092,076","1,530,755","1,309,604","3,932,435","219.73","308.00","263.50","791.23","9.1"
"2008","132","Kannapolis City Schools","INSTRUCTIONAL EQUIP.","61,103","971,806","90,089","1,122,998","12.29","195.54","18.13","225.96","2.6"
